,File Name,Original Transcription,Model Transcription
21,19-198-0021,than a beauty from her cradle can ever receive missus morland was a very good woman and wished to see her children everything they ought to be but her time was so much occupied in lying in and teaching the little ones,when a beauty from her cradle can ever receivemrs moment was a very good morningand wished to see her children everything they ought to bebut that time was so much occupied in line in teaching the other one
22,19-198-0022,that her elder daughters were inevitably left to shift for themselves and it was not very wonderful that catherine who had by nature nothing heroic about her should prefer cricket baseball riding on horseback,inevitably left to shift for themselvesand it was not a wonderful 7you had by nature nothing heroic about hercertificatebaseballriding on horseback
23,19-198-0023,and running about the country at the age of fourteen to books or at least books of information for provided that nothing like useful knowledge could be gained from them provided they were all story and no reflection,running a country at age of 14 to booksforest book seller informationfor provided that nothing like useful knowledge could be gained from themmoral story and reflection
24,19-198-0024,she had never any objection to books at all but from fifteen to seventeen she was in training for a heroine she read all such works as heroines must read to supply their memories with those quotations which are so serviceable,any objection to boxerfrom 16 to 17 she was in training for a heroinesharad of such works as heroines mastery to supply their memories with quotations which are so serviceable
25,19-198-0025,many a flower is born to blush unseen and waste its fragrance on the desert air from thompson that it is a delightful task to teach the young idea how to shoot,many a flower is born to blush unseen and waste its fragrance on the desert airsam thompsonit is a delight for testchitti how to shoot
26,19-198-0026,and from shakespeare she gained a great store of information amongst the rest that trifles light as air are to the jealous confirmation strong as proofs of holy writ,and from shakespeare's again the great storage informationamong the rest thattrifles light as air to the jealous confirmations strong as proofs of holy writ
27,19-198-0027,that the poor beetle which we tread upon in corporal sufferance feels a pang as great as when a giant dies and that a young woman in love always looks,thatthe four beta which we tried open in copper reference field shipping as great as 18 joined iseand very young woman in love always looks
28,19-198-0028,like patience on a monument smiling at grief so far her improvement was sufficient and in many other points she came on exceedingly well for though she could not write sonnets,like patience on a monument smiling at griefsofa improvement was sufficientand in many other points she came on exceedingly wellwhether she could not write sonnets
29,19-198-0029,she brought herself to read them and though there seemed no chance of her throwing a whole party into raptures by a prelude on the pianoforte of her own composition she could listen to other people's performance with very little fatigue,shiva ss tv damand then there's no chance of having a whole party into raptures by a prelude on the can of wateressay on compositionshikhar listen to other people's performance with where is the effect
30,19-198-0030,her greatest deficiency was in the pencil she had no notion of drawing not enough even to attempt a sketch of her lover's profile that she might be detected in the design,greatest efficiency was in the pencilshe had no notion of drawingnot enough even to attempt a sketch of a lover's profile that you might be detected in the design
31,19-198-0031,there she fell miserably short of the true heroic height at present she did not know her own poverty for she had no lover to portray she had reached the age of seventeen,where she found miserably shot of the true heightat present she did not know her around our team for she had no power to portraysee her weight the age of 17
32,19-198-0032,without having seen one amiable youth who could call forth her sensibility without having inspired one real passion and without having excited even any admiration but what was very moderate and very transient,what are having seen one amiable used to call forehead sensitivitywithout having inspired one rio passionhaving excited even any admiration but what was very moderate and very transient
33,19-198-0033,this was strange indeed but strange things may be generally accounted for if their cause be fairly searched out there was not one lord in the neighbourhood no not even a baronet,strange indeedstrange things may be generally accounted for if the cost be fairly self starti was not one lot in the neighbourhood no not even a baronet
34,19-198-0034,there was not one family among their acquaintance who had reared and supported a boy accidentally found at their door not one young man whose origin was unknown her father had no ward and the squire of the parish no children,i was not one family among acquaintance who had read and supported a boy accidentally found their doorone young man whose origin was unknownmy father had no wordand the square of the parish not children
35,19-198-0035,but when a young lady is to be a heroine the perverseness of forty surrounding families cannot prevent her something must and will happen to throw a hero in her way mister allen,what is tv heroineeffectiveness of forty surrounding families cannot preventsomething must and will happen to throw a hero in hawaiimr oven
36,19-198-0036,who owned the chief of the property about fullerton the village in wiltshire where the morlands lived was ordered to bath for the benefit of a gouty constitution and his lady a good humoured woman fond of miss morland and probably aware that if,who owned the chief of the property about forgottentomorrowland livewhat's the order to that for the benefit of egality constitutionaddress lady a good humour womensmall and and probably aware that
37,19-198-0037,she must seek them abroad invited her to go with them,chicken abroadinvited her to go with them
